#OTU ID	C002	C003	C007	C010	C011	C012	C018	C021	C024	C042	C048	C052	C054	K100	K105	K106	K108	K113	K119	K124	K125	K301	K304	K306	K309	K316	S010	S020	S030	S050	S080	S100	S110	S120	S130	S150	S180	S200	S210	S220	S240	S260	S280	S290	S320	S330	Y1	Y10	Y11	Y12	Y13	Y14	Y15	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9
C007_315837	4	0	13	0	0	0	0	1	0	1	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0
S100_37398	12	0	2	0	1	0	0	0	0	7	2	2	0	0	16	3	42	9	0	1	1	1	6	1	0	0	0	13	0	1	0	42	2	50	5	0	5	17	0	0	0	1	0	0	0	0	3	0	1	1	2	0	0	8	0	0	0	0	0	1	0
C002_131454	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	2	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1
C002_199026	17	17	7	5	24	7	11	8	11	19	1	10	97	3	31	15	5	53	13	4	2	53	3	18	8	0	0	19	26	10	19	7	44	22	20	1	13	15	0	52	0	1	34	8	2	13	0	0	10	11	2	0	25	0	21	0	9	6	8	2	33
K113_71642	2	0	3	6	1	1	4	0	0	4	0	0	0	0	0	0	1	2	0	2	0	3	1	2	5	2	1	7	1	6	2	1	3	1	0	7	0	4	2	4	6	2	14	7	0	18	0	1	0	0	2	0	4	1	0	1	1	1	0	0	1
C042_396775	2	0	1	0	10	40	7	0	0	36	6	1	0	0	1	0	11	2	2	0	0	1	0	0	0	0	0	16	40	1	5	0	7	2	14	0	0	8	16	22	6	0	16	10	0	1	0	0	0	0	0	0	19	0	0	1	1	1	0	0	0
C007_208822	12	1	65	1	0	0	146	0	0	13	23	1	54	0	0	0	1	0	78	4	0	2	0	0	1	7	0	0	2	42	6	0	0	7	0	14	8	16	0	90	372	453	92	62	4	22	0	0	0	12	36	0	21	1	44	14	118	2	0	1	4
C054_99332	11	4	5	0	0	3	1	4	0	0	7	0	2	0	17	13	15	0	7	2	0	0	0	11	0	11	15	0	0	3	0	0	5	3	3	0	4	8	0	27	8	15	14	2	0	0	0	11	0	24	7	0	7	1	7	2	1	0	1	0	3
C012_37854	4	1	1	0	5	3	0	1	0	5	3	1	0	0	0	1	2	1	5	2	0	0	1	0	0	0	4	3	0	0	2	6	2	3	1	0	0	8	0	7	2	1	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
K316_96254	29	12	0	0	3	1	0	20	2	1	3	4	25	12	2	8	60	9	1	3	22	23	3	11	2	188	1	2	0	2	8	3	2	12	10	2	26	1	8	2	2	4	0	0	12	4	1	24	24	28	7	6	15	0	3	2	1	0	2	13	22
C021_449354	16	7	4	6	0	3	3	97	4	21	11	149	0	4	11	49	2	54	6	9	8	133	65	1	177	12	13	29	7	359	4	5	0	0	0	6	2	150	12	4	4	0	5	1	391	0	3	79	6	13	30	436	0	112	1	83	63	35	0	1	0
C018_1476	3	2	5	0	0	4	6	0	0	11	5	1	2	0	0	0	5	0	7	2	0	0	2	0	0	2	5	0	1	0	6	7	2	1	0	0	0	54	0	17	0	0	7	8	0	0	5	2	0	0	5	0	4	2	0	0	2	0	0	3	0
C002_322890	4	22	0	65	0	0	0	2	0	32	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	28	0	0	9	0	0	31	0	0	0	123	1	2	0	1	20	0	0	0	0	0	0	0	0	0	1	8	3	0	0	0	0	29	3	25	0
S020_190314	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
